date,state,dose,daily_vac
2021-03-04,Kuala Lumpur,2nd Booster,0
2021-03-04,Labuan,2nd Booster,0
2021-03-04,Putrajaya,2nd Booster,0
2021-03-04,Malaysia,2nd Booster,0
2021-03-04,Johor,2nd Dose,3
2021-03-04,Kedah,2nd Dose,1
2021-03-04,Kelantan,2nd Dose,0
2021-03-04,Melaka,2nd Dose,0
2021-03-04,Negeri Sembilan,2nd Dose,0
2021-03-04,Pahang,2nd Dose,0
2021-03-04,Perak,2nd Dose,0
2021-03-04,Perlis,2nd Dose,0
2021-03-04,Penang,2nd Dose,0
2021-03-04,Sabah,2nd Dose,4
2021-03-04,Sarawak,2nd Dose,4
2021-03-04,Selangor,2nd Dose,1
2021-03-04,Terengganu,2nd Dose,0
2021-03-04,Kuala Lumpur,2nd Dose,3
2021-03-04,Labuan,2nd Dose,0
2021-03-04,Putrajaya,2nd Dose,0
2021-03-04,Malaysia,2nd Dose,16
2021-03-04,Johor,1st Dose,1958
2021-03-04,Kedah,1st Dose,724
2021-03-04,Kelantan,1st Dose,3407
2021-03-04,Melaka,1st Dose,988
2021-03-04,Negeri Sembilan,1st Dose,1230
2021-03-04,Pahang,1st Dose,1129
2021-03-04,Perak,1st Dose,1026
2021-03-04,Perlis,1st Dose,298
2021-03-04,Penang,1st Dose,1122
2021-03-04,Sabah,1st Dose,1759
2021-03-04,Sarawak,1st Dose,390
2021-03-04,Selangor,1st Dose,2261
2021-03-04,Terengganu,1st Dose,4
2021-03-04,Kuala Lumpur,1st Dose,2431
2021-03-04,Labuan,1st Dose,209
2021-03-04,Putrajaya,1st Dose,547
2021-03-04,Malaysia,1st Dose,19483
2021-03-05,Johor,1st Booster,0
2021-03-05,Kedah,1st Booster,0
2021-03-05,Kelantan,1st Booster,0
2021-03-05,Melaka,1st Booster,0
2021-03-05,Negeri Sembilan,1st Booster,0
2021-03-05,Pahang,1st Booster,0
2021-03-05,Perak,1st Booster,0
2021-03-05,Perlis,1st Booster,0
2021-03-05,Penang,1st Booster,0
2021-03-05,Sabah,1st Booster,0
2021-03-05,Sarawak,1st Booster,0
2021-03-05,Selangor,1st Booster,0
2021-03-05,Terengganu,1st Booster,0
2021-03-05,Kuala Lumpur,1st Booster,0
2021-03-05,Labuan,1st Booster,0
2021-03-05,Putrajaya,1st Booster,0
2021-03-05,Malaysia,1st Booster,0
2021-03-05,Johor,2nd Booster,0
2021-03-05,Kedah,2nd Booster,0
2021-03-05,Kelantan,2nd Booster,0
2021-03-05,Melaka,2nd Booster,0
2021-03-05,Negeri Sembilan,2nd Booster,0
2021-03-05,Pahang,2nd Booster,0
2021-03-05,Perak,2nd Booster,0
2021-03-05,Perlis,2nd Booster,0
2021-03-05,Penang,2nd Booster,0
2021-03-05,Sabah,2nd Booster,0
2021-03-05,Sarawak,2nd Booster,0
2021-03-05,Selangor,2nd Booster,0
2021-03-05,Terengganu,2nd Booster,0
2021-03-05,Kuala Lumpur,2nd Booster,0
2021-03-05,Labuan,2nd Booster,0
2021-03-05,Putrajaya,2nd Booster,0
2021-03-05,Malaysia,2nd Booster,0
2021-03-05,Johor,2nd Dose,0
2021-03-05,Kedah,2nd Dose,2
2021-03-05,Kelantan,2nd Dose,0
2021-03-05,Melaka,2nd Dose,0
2021-03-05,Negeri Sembilan,2nd Dose,0
2021-03-05,Pahang,2nd Dose,0
